table_id,table_row,source_line,section,cells_json,urls_json,typed_absences_json
2a-anthropic-comprehensive-chronology/1,1,38,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Fable"",""Exact provider-preferred name"":""**Claude Fable 5.1**"",""Kind"":""model"",""Native kind wording"":""\""Latest\"" ([model page](https://platform.claude.com/docs/en/models/fable-5-1/overview))"",""Canonical API ID(s)"":""`claude-fable-5-1` ([model page](https://platform.claude.com/docs/en/models/fable-5-1/overview))"",""Announcement date"":""[Sep 1, 2026](https://www.anthropic.com/news) (\""Sep 1, 2026\"", Announcements)"",""Release / availability date"":""[Sep 1, 2026](https://platform.claude.com/docs/en/release-notes/overview) — \""We've launched Claude Fable 5.1\""; consumer same day ([apps notes](https://support.claude.com/en/articles/12138966-release-notes))"",""GA date"":""not_reported (no separate GA milestone stated)"",""Deprecation date"":""N/A ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Retirement date"":""\""Not sooner than September 1, 2027\"" ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Surfaces & availability interval"":""Claude API, Claude in Amazon Bedrock, Claude Platform on AWS, Claude on Google Cloud, Claude in Microsoft Foundry ([release notes](https://platform.claude.com/docs/en/release-notes/overview)); \""available today on all platforms, including Amazon Web Services, Google Cloud, and Microsoft Azure\"" ([announcement](https://www.anthropic.com/claude-fable-and-mythos-5-1)); Pro, Max, Team, Enterprise ([Fable page](https://www.anthropic.com/claude/fable)); Claude web/Mobile/Desktop/Cowork/Code (≥2.1.255)/Design/M365/Tag ([help center](https://support.claude.com/en/articles/15424964-claude-fable-models-on-your-plan))"",""Modalities (in → out)"":""text + image → text ([overview](https://docs.claude.com/en/docs/about-claude/models/overview))"",""Knowledge cutoff (exact wording)"":""\""Reliable knowledge cutoff — Jun 2026\"" ([overview](https://docs.claude.com/en/docs/about-claude/models/overview)); \""Claude Fable 5.1 was trained on data up until June 2026\"" ([help center](https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data)) — applies to the model across API and Claude apps"",""Officially stated relations"":""\""the successor to Claude Fable 5\"" ([release notes](https://platform.claude.com/docs/en/release-notes/overview)); \""extends Claude Fable 5\"" ([model page](https://platform.claude.com/docs/en/models/fable-5-1/overview))"",""Card / report URL"":""[Claude Fable 5.1 & Mythos 5.1 system card](https://www.anthropic.com/claude-fable-5-1-mythos-5-1-system-card)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/fable-5-1/overview) · [announcement](https://www.anthropic.com/claude-fable-and-mythos-5-1)"",""Lifecycle 2026-09-05"":""Active ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Evidence notes & typed gaps"":""Announcement page shows only \""September 2026\"" in its dateline; day precision comes from the newsroom index and both release-note surfaces. Not yet present in the Transparency Hub model list (hub's own \""Model Report\"" date is [August 17, 2026](https://www.anthropic.com/transparency)) → hub coverage `not_found` for this model.""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://docs.claude.com/en/docs/about-claude/models/overview"",""https://platform.claude.com/docs/en/models/fable-5-1/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://support.claude.com/en/articles/12138966-release-notes"",""https://support.claude.com/en/articles/15424964-claude-fable-models-on-your-plan"",""https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data"",""https://www.anthropic.com/claude-fable-5-1-mythos-5-1-system-card"",""https://www.anthropic.com/claude-fable-and-mythos-5-1"",""https://www.anthropic.com/claude/fable"",""https://www.anthropic.com/news"",""https://www.anthropic.com/transparency""]","[""not_found"",""not_reported""]"
2a-anthropic-comprehensive-chronology/1,2,39,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Mythos"",""Exact provider-preferred name"":""**Claude Mythos 5.1**"",""Kind"":""configuration"",""Native kind wording"":""\""Specialized models\"" / \""Invite only\"" ([model page](https://platform.claude.com/docs/en/models/mythos-5-1/overview))"",""Canonical API ID(s)"":""`claude-mythos-5-1` ([model page](https://platform.claude.com/docs/en/models/mythos-5-1/overview))"",""Announcement date"":""[Sep 1, 2026](https://www.anthropic.com/news)"",""Release / availability date"":""[Sep 1, 2026](https://platform.claude.com/docs/en/release-notes/overview) — launched \""alongside Claude Mythos 5.1 … for Project Glasswing participants\"""",""GA date"":""not_applicable — \""available only through our trusted access programs\"" ([announcement](https://www.anthropic.com/claude-fable-and-mythos-5-1))"",""Deprecation date"":""not_reported"",""Retirement date"":""not_reported (absent from the API model-status table, [deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Surfaces & availability interval"":""Invitation-only via Project Glasswing; \""available to vetted cyberdefenders and life scientists … only available to a set of US organizations\"" ([announcement](https://www.anthropic.com/claude-fable-and-mythos-5-1)); access via Anthropic, AWS or Google Cloud account team ([model page](https://platform.claude.com/docs/en/models/mythos-5-1/overview))"",""Modalities (in → out)"":""text + image → text ([model page](https://platform.claude.com/docs/en/models/mythos-5-1/overview) shares Fable 5.1 specs); for Mythos 5 the hub states \""can only output text\"" ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""\""Jun 2026\"" knowledge cutoff, same row as Fable 5.1 ([model page](https://platform.claude.com/docs/en/models/mythos-5-1/overview))"",""Officially stated relations"":""\""Claude Fable 5.1 and Claude Mythos 5.1 are the same model, but with different levels of safeguards\"" ([announcement](https://www.anthropic.com/claude-fable-and-mythos-5-1)); \""shares Claude Fable 5.1's specifications and pricing\"" ([model page](https://platform.claude.com/docs/en/models/mythos-5-1/overview))"",""Card / report URL"":""[same system card as Fable 5.1](https://www.anthropic.com/claude-fable-5-1-mythos-5-1-system-card)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/mythos-5-1/overview)"",""Lifecycle 2026-09-05"":""Active (invite-only); no lifecycle row published"",""Evidence notes & typed gaps"":""Canonical example of *shared underlying model + safeguard configuration*. Benchmark gap between Fable 5.1 and Mythos 5.1 is attributed by the provider to safeguard intervention, not weights ([announcement](https://www.anthropic.com/claude-fable-and-mythos-5-1)).""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://platform.claude.com/docs/en/models/mythos-5-1/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://www.anthropic.com/claude-fable-5-1-mythos-5-1-system-card"",""https://www.anthropic.com/claude-fable-and-mythos-5-1"",""https://www.anthropic.com/news"",""https://www.anthropic.com/transparency""]","[""not_applicable"",""not_reported""]"
2a-anthropic-comprehensive-chronology/1,3,40,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Opus"",""Exact provider-preferred name"":""**Claude Opus 5**"",""Kind"":""model"",""Native kind wording"":""\""Latest\"" ([overview](https://docs.claude.com/en/docs/about-claude/models/overview))"",""Canonical API ID(s)"":""`claude-opus-5` ([overview](https://docs.claude.com/en/docs/about-claude/models/overview))"",""Announcement date"":""[Jul 24, 2026](https://www.anthropic.com/news) (\""Product · Jul 24, 2026 · Introducing Claude Opus 5\"")"",""Release / availability date"":""[Jul 24, 2026](https://platform.claude.com/docs/en/release-notes/overview) — \""We've launched Claude Opus 5\""; consumer same day ([apps notes](https://support.claude.com/en/articles/12138966-release-notes))"",""GA date"":""not_reported"",""Deprecation date"":""N/A"",""Retirement date"":""\""Not sooner than July 24, 2027\"" ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Surfaces & availability interval"":""Claude API, Amazon Bedrock, Claude Platform on AWS, Google Cloud, Microsoft Foundry ([release notes](https://platform.claude.com/docs/en/release-notes/overview)); Claude.ai, Claude Code, Anthropic API, Amazon Bedrock, Google Vertex AI, Microsoft Azure AI Foundry ([hub](https://www.anthropic.com/transparency))"",""Modalities (in → out)"":""\""text (including voice dictation) and image inputs … can output text, including text-based artifacts, and diagrams\"" ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""\""Claude Opus 5 has a knowledge cutoff date of May 2026\"" ([hub](https://www.anthropic.com/transparency)); \""Reliable knowledge cutoff — May 2026\"" ([overview](https://docs.claude.com/en/docs/about-claude/models/overview)); \""trained on data up until May 2026\"" ([help center](https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data))"",""Officially stated relations"":""\""a step-change improvement over Claude Opus 4.8\"" ([release notes](https://platform.claude.com/docs/en/release-notes/overview))"",""Card / report URL"":""Opus 5 system card, linked from [hub](https://www.anthropic.com/transparency)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/opus-5/overview)"",""Lifecycle 2026-09-05"":""Active"",""Evidence notes & typed gaps"":""Hub gives month precision (\""July 2026\""); release notes give the day. Both retained.""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://docs.claude.com/en/docs/about-claude/models/overview"",""https://platform.claude.com/docs/en/models/opus-5/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://support.claude.com/en/articles/12138966-release-notes"",""https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data"",""https://www.anthropic.com/news"",""https://www.anthropic.com/transparency""]","[""not_reported""]"
2a-anthropic-comprehensive-chronology/1,4,41,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Sonnet"",""Exact provider-preferred name"":""**Claude Sonnet 5**"",""Kind"":""model"",""Native kind wording"":""\""Latest\"" ([model page](https://platform.claude.com/docs/en/models/sonnet-5/overview))"",""Canonical API ID(s)"":""`claude-sonnet-5` ([model page](https://platform.claude.com/docs/en/models/sonnet-5/overview))"",""Announcement date"":""not_reported separately"",""Release / availability date"":""[Jun 30, 2026](https://platform.claude.com/docs/en/release-notes/overview); consumer same day ([apps notes](https://support.claude.com/en/articles/12138966-release-notes))"",""GA date"":""Introductory price $2/$10 became the standard price on [Aug 10, 2026](https://platform.claude.com/docs/en/release-notes/overview)"",""Deprecation date"":""N/A"",""Retirement date"":""\""Not sooner than June 30, 2027\"" ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Surfaces & availability interval"":""Claude.ai, Claude Code, Anthropic API, Amazon Bedrock, Google Vertex AI, Microsoft Azure AI Foundry ([hub](https://www.anthropic.com/transparency)); Priority Tier explicitly **not** available ([release notes](https://platform.claude.com/docs/en/release-notes/overview))"",""Modalities (in → out)"":""text + image → text, \""and audio via text-to-speech\"" ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""\""knowledge cutoff date of January 2026\"" ([hub](https://www.anthropic.com/transparency)); \""Jan 2026\"" ([overview](https://docs.claude.com/en/docs/about-claude/models/overview)); \""trained on data up until January 2026\"" ([help center](https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data))"",""Officially stated relations"":""\""the next generation of Anthropic's Sonnet model family … a drop-in upgrade for Claude Sonnet 4.6\"" ([model page](https://platform.claude.com/docs/en/models/sonnet-5/overview))"",""Card / report URL"":""Sonnet 5 system card, linked from [hub](https://www.anthropic.com/transparency)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/sonnet-5/overview)"",""Lifecycle 2026-09-05"":""Active"",""Evidence notes & typed gaps"":""New tokenizer (~30% more tokens for same text) documented at launch ([release notes](https://platform.claude.com/docs/en/release-notes/overview)).""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://docs.claude.com/en/docs/about-claude/models/overview"",""https://platform.claude.com/docs/en/models/sonnet-5/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://support.claude.com/en/articles/12138966-release-notes"",""https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data"",""https://www.anthropic.com/transparency""]","[""not_reported""]"
2a-anthropic-comprehensive-chronology/1,5,42,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Haiku"",""Exact provider-preferred name"":""**Claude Haiku 4.5**"",""Kind"":""model (dated checkpoint ID)"",""Native kind wording"":""\""Latest\"" ([model page](https://platform.claude.com/docs/en/models/haiku-4-5/overview))"",""Canonical API ID(s)"":""`claude-haiku-4-5-20251001`; Google Cloud form `claude-haiku-4-5@20251001` ([model IDs](https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions))"",""Announcement date"":""[Oct 15, 2025](https://www.anthropic.com/news/claude-haiku-4-5) (\""Oct 15, 2025\"")"",""Release / availability date"":""[Oct 15, 2025](https://platform.claude.com/docs/en/release-notes/overview); \""available today to all users\"" ([announcement](https://www.anthropic.com/news/claude-haiku-4-5))"",""GA date"":""not_reported"",""Deprecation date"":""N/A"",""Retirement date"":""\""Not sooner than October 15, 2026\"" ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Surfaces & availability interval"":""Claude API, Claude Code, Claude apps, Amazon Bedrock, Google Vertex AI ([announcement](https://www.anthropic.com/news/claude-haiku-4-5)); Claude.ai + Bedrock + Vertex ([hub](https://www.anthropic.com/transparency)); self-serve on Bedrock from [Apr 16, 2026](https://platform.claude.com/docs/en/release-notes/overview)"",""Modalities (in → out)"":""text + image → text, \""and audio via text-to-speech\"" ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""\""knowledge cutoff date of February 2025\"" ([hub](https://www.anthropic.com/transparency)); \""Feb 2025\"" ([overview](https://docs.claude.com/en/docs/about-claude/models/overview)); but \""trained on data up until July 2025\"" ([help center](https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data)) — **disagreement preserved, see §7**"",""Officially stated relations"":""announcement positions it against Sonnet 4 performance ([announcement](https://www.anthropic.com/news/claude-haiku-4-5))"",""Card / report URL"":""Haiku 4.5 summary table in [hub](https://www.anthropic.com/transparency)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/haiku-4-5/overview)"",""Lifecycle 2026-09-05"":""Active"",""Evidence notes & typed gaps"":""Announcement cites the alias `claude-haiku-4-5`; the pinned ID carries the 20251001 date.""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://docs.claude.com/en/docs/about-claude/models/overview"",""https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions"",""https://platform.claude.com/docs/en/models/haiku-4-5/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data"",""https://www.anthropic.com/news/claude-haiku-4-5"",""https://www.anthropic.com/transparency""]","[""not_reported""]"
2a-anthropic-comprehensive-chronology/1,6,43,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Fable"",""Exact provider-preferred name"":""**Claude Fable 5**"",""Kind"":""model"",""Native kind wording"":""\""Legacy models\"" navigation group ([model page](https://platform.claude.com/docs/en/models/fable-5/overview))"",""Canonical API ID(s)"":""`claude-fable-5` ([release notes](https://platform.claude.com/docs/en/release-notes/overview))"",""Announcement date"":""[Jun 9, 2026](https://www.anthropic.com/claude/fable) (\""Jun 9, 2026 — Claude Fable 5\"")"",""Release / availability date"":""[Jun 9, 2026](https://platform.claude.com/docs/en/release-notes/overview); consumer same day — \""a Mythos-class model that we've made safe for general use\"" ([apps notes](https://support.claude.com/en/articles/12138966-release-notes))"",""GA date"":""not_reported"",""Deprecation date"":""N/A"",""Retirement date"":""\""Not sooner than June 9, 2027\"" ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Surfaces & availability interval"":""Claude.ai, Claude Code, Anthropic API, Amazon Bedrock, Google Vertex AI, Microsoft Azure AI Foundry ([hub](https://www.anthropic.com/transparency)). **Availability interrupted:** access suspended [Jun 12, 2026](https://support.claude.com/en/articles/12138966-release-notes), restored [Jul 1, 2026](https://platform.claude.com/docs/en/release-notes/overview) / [\""Claude Fable 5 is rolling out\"", Jul 1, 2026](https://www.anthropic.com/claude/fable). Plan inclusion changed: promotion ended [Jul 19, 2026 11:59:59 PM PT](https://support.claude.com/en/articles/15424964-claude-fable-models-on-your-plan)"",""Modalities (in → out)"":""text + image → text, \""and audio via text-to-speech\"" ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""\""knowledge cutoff date of January 2026\"" ([hub](https://www.anthropic.com/transparency)); \""trained on data up until January 2026\"" ([help center](https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data))"",""Officially stated relations"":""predecessor of Fable 5.1 ([release notes](https://platform.claude.com/docs/en/release-notes/overview)); biology safeguards updated [Aug 6/7, 2026](https://www.anthropic.com/news)"",""Card / report URL"":""Claude Fable 5 & Claude Mythos 5 system card, linked from [hub](https://www.anthropic.com/transparency)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/fable-5/overview)"",""Lifecycle 2026-09-05"":""Active in the API lifecycle table, \""Legacy\"" in docs navigation — two different axes, both recorded"",""Evidence notes & typed gaps"":""Uses the tokenizer introduced with Opus 4.7; refusals surface as `stop_reason: \""refusal\""` ([release notes](https://platform.claude.com/docs/en/release-notes/overview)).""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://platform.claude.com/docs/en/models/fable-5/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://support.claude.com/en/articles/12138966-release-notes"",""https://support.claude.com/en/articles/15424964-claude-fable-models-on-your-plan"",""https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data"",""https://www.anthropic.com/claude/fable"",""https://www.anthropic.com/news"",""https://www.anthropic.com/transparency""]","[""not_reported""]"
2a-anthropic-comprehensive-chronology/1,7,44,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Mythos"",""Exact provider-preferred name"":""**Claude Mythos 5**"",""Kind"":""configuration"",""Native kind wording"":""\""Specialized models\"" ([docs nav](https://platform.claude.com/docs/en/models/mythos-5/overview))"",""Canonical API ID(s)"":""`claude-mythos-5` ([release notes](https://platform.claude.com/docs/en/release-notes/overview))"",""Announcement date"":""[Jun 9, 2026](https://platform.claude.com/docs/en/release-notes/overview)"",""Release / availability date"":""[Jun 9, 2026](https://platform.claude.com/docs/en/release-notes/overview) — \""for Project Glasswing participants\"""",""GA date"":""not_applicable"",""Deprecation date"":""not_reported"",""Retirement date"":""not_reported"",""Surfaces & availability interval"":""Invitation-only; \""made available to a limited set of partners for defensive cybersecurity and bio purposes\"" ([hub](https://www.anthropic.com/transparency)). Suspended [Jun 12, 2026](https://support.claude.com/en/articles/12138966-release-notes) and restored [Jul 1, 2026](https://platform.claude.com/docs/en/release-notes/overview) together with Fable 5"",""Modalities (in → out)"":""\""text and image inputs … Mythos 5 can only output text\"" ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""\""knowledge cutoff date of January 2026\"" ([hub](https://www.anthropic.com/transparency))"",""Officially stated relations"":""same-model/different-safeguards pairing with Fable 5 ([hub](https://www.anthropic.com/transparency), Fable 5 & Mythos 5 system card)"",""Card / report URL"":""Claude Fable 5 & Claude Mythos 5 system card via [hub](https://www.anthropic.com/transparency)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/mythos-5/overview)"",""Lifecycle 2026-09-05"":""Active (invite-only)"",""Evidence notes & typed gaps"":""Hub release date is month precision (\""June 2026\""); day precision from release notes.""}","[""https://platform.claude.com/docs/en/models/mythos-5/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://support.claude.com/en/articles/12138966-release-notes"",""https://www.anthropic.com/transparency""]","[""not_applicable"",""not_reported""]"
2a-anthropic-comprehensive-chronology/1,8,45,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Opus"",""Exact provider-preferred name"":""**Claude Opus 4.8**"",""Kind"":""model"",""Native kind wording"":""\""Legacy\"" ([model page](https://platform.claude.com/docs/en/models/opus-4-8/overview))"",""Canonical API ID(s)"":""`claude-opus-4-8`; Bedrock `anthropic.claude-opus-4-8` ([model IDs](https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions))"",""Announcement date"":""[May 28, 2026](https://support.claude.com/en/articles/12138966-release-notes)"",""Release / availability date"":""[May 28, 2026](https://platform.claude.com/docs/en/release-notes/overview)"",""GA date"":""not_reported"",""Deprecation date"":""N/A"",""Retirement date"":""\""Not sooner than May 28, 2027\"" ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Surfaces & availability interval"":""Claude API, Amazon Bedrock, Google Cloud, Microsoft Foundry ([release notes](https://platform.claude.com/docs/en/release-notes/overview)); Claude.ai, Claude Code + three clouds ([hub](https://www.anthropic.com/transparency))"",""Modalities (in → out)"":""text + image → text, \""and audio via text-to-speech\"" ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""\""knowledge cutoff date of January 2026\"" ([hub](https://www.anthropic.com/transparency)); \""trained on data up until January 2026\"" ([help center](https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data))"",""Officially stated relations"":""\""It builds on Opus 4.7 with improvements across benchmarks\"" ([hub](https://www.anthropic.com/transparency))"",""Card / report URL"":""Opus 4.8 system card via [hub](https://www.anthropic.com/transparency)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/opus-4-8/overview)"",""Lifecycle 2026-09-05"":""Active (docs label: Legacy)"",""Evidence notes & typed gaps"":""1M context by default; `effort` defaults to `high` ([release notes](https://platform.claude.com/docs/en/release-notes/overview)).""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions"",""https://platform.claude.com/docs/en/models/opus-4-8/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://support.claude.com/en/articles/12138966-release-notes"",""https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data"",""https://www.anthropic.com/transparency""]","[""not_reported""]"
2a-anthropic-comprehensive-chronology/1,9,46,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Opus"",""Exact provider-preferred name"":""**Claude Opus 4.7**"",""Kind"":""model"",""Native kind wording"":""\""Legacy\"" ([model page](https://platform.claude.com/docs/en/models/opus-4-7/overview))"",""Canonical API ID(s)"":""`claude-opus-4-7`; Bedrock `anthropic.claude-opus-4-7` ([model IDs](https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions))"",""Announcement date"":""[Apr 16, 2026](https://support.claude.com/en/articles/12138966-release-notes) — \""now generally available\"""",""Release / availability date"":""[Apr 16, 2026](https://platform.claude.com/docs/en/release-notes/overview)"",""GA date"":""[Apr 16, 2026](https://support.claude.com/en/articles/12138966-release-notes) (consumer wording \""generally available\"")"",""Deprecation date"":""N/A"",""Retirement date"":""\""Not sooner than April 16, 2027\"" ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Surfaces & availability interval"":""Claude API + Bedrock self-serve in 27 AWS regions ([release notes](https://platform.claude.com/docs/en/release-notes/overview)); Claude.ai, Claude Code + three clouds ([hub](https://www.anthropic.com/transparency))"",""Modalities (in → out)"":""text + image → text (\""audio via text-to-speech\"") ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""\""knowledge cutoff date of January 2026\"" ([hub](https://www.anthropic.com/transparency)); \""trained on data up until January 2026\"" ([help center](https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data))"",""Officially stated relations"":""introduced the tokenizer later used by Fable 5 ([release notes](https://platform.claude.com/docs/en/release-notes/overview))"",""Card / report URL"":""Opus 4.7 system card via [hub](https://www.anthropic.com/transparency)"",""Release / doc URL"":""[Model page](https://platform.claude.com/docs/en/models/opus-4-7/overview)"",""Lifecycle 2026-09-05"":""Active (docs label: Legacy)"",""Evidence notes & typed gaps"":""Also the first model where `temperature`/`top_p`/`top_k` are rejected ([deprecations](https://docs.claude.com/en/docs/about-claude/model-deprecations)).""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions"",""https://platform.claude.com/docs/en/models/opus-4-7/overview"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://support.claude.com/en/articles/12138966-release-notes"",""https://support.claude.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data"",""https://www.anthropic.com/transparency""]",[]
2a-anthropic-comprehensive-chronology/1,10,47,2a. Anthropic — comprehensive chronology,"{""Provider"":""Anthropic"",""Family"":""Mythos"",""Exact provider-preferred name"":""**Claude Mythos Preview**"",""Kind"":""configuration"",""Native kind wording"":""\""gated research preview\"" ([release notes](https://platform.claude.com/docs/en/release-notes/overview))"",""Canonical API ID(s)"":""not_reported (no public API ID published; referenced by name in the [parameter-deprecation table](https://docs.claude.com/en/docs/about-claude/model-deprecations))"",""Announcement date"":""[Apr 7, 2026](https://platform.claude.com/docs/en/release-notes/overview) — \""We announced Claude Mythos Preview is available as a gated research preview for defensive cybersecurity work as part of Project Glasswing\"""",""Release / availability date"":""[Apr 7, 2026](https://platform.claude.com/docs/en/release-notes/overview); hub month precision \""April 2026\"" ([hub](https://www.anthropic.com/transparency))"",""GA date"":""not_applicable — \""the first model for which we have published a system card without making the model generally commercially available\"" ([hub](https://www.anthropic.com/transparency))"",""Deprecation date"":""not_reported"",""Retirement date"":""not_reported"",""Surfaces & availability interval"":""Invitation-only, defensive cybersecurity partners only ([hub](https://www.anthropic.com/transparency))"",""Modalities (in → out)"":""\""text and image inputs … can only output text\"" ([hub](https://www.anthropic.com/transparency))"",""Knowledge cutoff (exact wording)"":""not_reported"",""Officially stated relations"":""\""the first model to be evaluated under the new version 3.0 of our Responsible Scaling Policy\"" ([hub](https://www.anthropic.com/transparency))"",""Card / report URL"":""Claude Mythos Preview system card via [hub](https://www.anthropic.com/transparency)"",""Release / doc URL"":""[Release notes](https://platform.claude.com/docs/en/release-notes/overview)"",""Lifecycle 2026-09-05"":""Preview; no retirement published"",""Evidence notes & typed gaps"":""Important for archive attribution: a named, system-carded entity that was never generally available and has no published API identifier.""}","[""https://docs.claude.com/en/docs/about-claude/model-deprecations"",""https://platform.claude.com/docs/en/release-notes/overview"",""https://www.anthropic.com/transparency""]","[""not_applicable"",""not_reported""]"
